Wall time,Step,Value
1695702626.8662207,0,12.6875
1695702629.6998663,1,15.384614944458008
1695702632.4211168,2,25.0
1695702635.1355717,3,27.33333396911621
1695702637.8198092,4,29.200000762939453
1695702640.5143657,5,46.0
1695702643.143946,6,52.0
1695702645.8256006,7,39.818180084228516
1695702648.4195712,8,100.5
1695702651.1516116,9,44.66666793823242
1695702653.9043756,10,59.14285659790039
1695702657.288784,11,44.5
1695702659.9714315,12,104.75
1695702662.6489627,13,61.85714340209961
1695702665.3422244,14,58.57143020629883
1695702668.0999014,15,67.125
1695702670.7552962,16,63.42856979370117
1695702673.4724805,17,94.19999694824219
1695702676.2264152,18,109.0
1695702679.3940756,19,113.4000015258789
1695702682.197344,20,137.3333282470703
1695702685.0138583,21,120.25
1695702687.836178,22,99.4000015258789
1695702690.6550677,23,117.25
1695702694.2513838,24,113.75
1695702697.192572,25,110.25
1695702700.086125,26,114.0
1695702703.270667,27,140.0
1695702706.409517,28,100.0
1695702709.1337454,29,114.5
1695702712.2466388,30,114.75
1695702715.5524251,31,137.6666717529297
1695702718.6464355,32,159.75
1695702721.4306958,33,138.6666717529297
1695702724.3285174,34,103.75
1695702727.3111913,35,138.6666717529297
1695702730.1641576,36,141.75
1695702733.1978955,37,141.3333282470703
1695702736.5993342,38,143.6666717529297
1695702739.8699548,39,155.6666717529297
1695702743.0768342,40,120.5
1695702746.425493,41,116.25
1695702749.6005952,42,221.6666717529297
1695702752.6857047,43,136.6666717529297
1695702756.1830933,44,156.0
1695702759.0043385,45,158.3333282470703
1695702761.881739,46,219.3333282470703
1695702765.334657,47,205.6666717529297
1695702768.3166807,48,243.5
1695702771.3129332,49,260.5
1695702774.4621456,50,186.6666717529297
1695702777.6490054,51,369.0
1695702780.6756427,52,453.0
1695702783.618111,53,523.0
1695702786.6738715,54,476.0
1695702789.6998594,55,246.0
1695702792.7162173,56,757.0
1695702795.772914,57,1000.0
1695702798.984454,58,697.0
1695702802.6592143,59,677.0
1695702805.9140513,60,551.0
1695702809.3058274,61,847.0
1695702812.9467123,62,1000.0
1695702816.4991372,63,529.0
1695702819.9695451,64,853.0
1695702823.1891205,65,531.0
1695702826.3433003,66,1000.0
1695702829.6851852,67,1000.0
1695702832.858295,68,483.0
1695702836.3427756,69,815.0
1695702839.7523916,70,1000.0
1695702842.96386,71,1000.0
1695702846.7832532,72,1000.0
1695702850.0506008,73,1000.0
1695702853.0132613,74,438.0
1695702856.032922,75,1000.0
1695702860.301567,76,1000.0
1695702863.979626,77,1000.0
1695702866.9819956,78,1000.0
1695702870.2726758,79,1000.0
1695702874.430368,80,1000.0
1695702878.00058,81,1000.0
1695702882.6127574,82,1000.0
1695702887.504998,83,1000.0
1695702891.5069542,84,1000.0
1695702895.0757546,85,1000.0
1695702899.7226572,86,1000.0
1695702902.9312053,87,1000.0
1695702906.434522,88,1000.0
1695702909.7241464,89,1000.0
1695702913.175904,90,1000.0
1695702916.37714,91,1000.0
1695702919.9623413,92,1000.0
1695702923.1047256,93,1000.0
1695702926.1079342,94,1000.0
1695702929.0745592,95,1000.0
1695702932.09845,96,1000.0
1695702935.1080492,97,1000.0
1695702938.3028505,98,1000.0
1695702941.5001051,99,1000.0
