Wall time,Step,Value
1695709922.2453105,0,19.761905670166016
1695709923.06259,1,16.30769157409668
1695709923.892434,2,25.117647171020508
1695709924.7181668,3,28.928571701049805
1695709925.5668836,4,20.549999237060547
1695709926.380109,5,18.227272033691406
1695709927.1911101,6,15.423076629638672
1695709927.977044,7,28.571428298950195
1695709928.8112347,8,50.0
1695709929.6162376,9,46.11111068725586
1695709930.4374611,10,53.75
1695709931.3986552,11,90.16666412353516
1695709932.205662,12,72.5
1695709933.0603971,13,82.0
1695709933.8965988,14,80.5999984741211
1695709934.738599,15,68.33333587646484
1695709935.6103098,16,70.83333587646484
1695709936.6133075,17,104.4000015258789
1695709937.5353084,18,89.33333587646484
1695709938.6384268,19,128.0
1695709939.527141,20,80.80000305175781
1695709940.4121418,21,91.4000015258789
1695709941.285148,22,77.0
1695709942.2238872,23,70.33333587646484
1695709943.0578878,24,72.83333587646484
1695709943.8659759,25,71.16666412353516
1695709944.7066245,26,101.19999694824219
1695709945.5379722,27,171.6666717529297
1695709946.4190629,28,117.5
1695709947.346169,29,171.0
1695709948.3742087,30,204.3333282470703
1695709949.212102,31,154.3333282470703
1695709950.118311,32,270.5
1695709950.984032,33,538.0
1695709952.2452617,34,788.0
1695709953.657263,35,845.0
1695709955.357528,36,1000.0
1695709956.4675145,37,1000.0
1695709957.5640101,38,1000.0
1695709958.7272718,39,1000.0
1695709959.8375845,40,1000.0
1695709960.9235222,41,1000.0
1695709961.7992892,42,253.5
1695709962.947704,43,1000.0
1695709964.502938,44,1000.0
1695709965.4237618,45,668.0
1695709966.3777633,46,306.0
1695709967.4905589,47,1000.0
1695709968.6649787,48,1000.0
1695709969.7997289,49,1000.0
