Wall time,Step,Value
1695703417.6554918,0,-138.093505859375
1695703420.6708071,1,-141.36830139160156
1695703423.499779,2,-144.73304748535156
1695703426.470734,3,-178.294921875
1695703429.3396368,4,-142.9731903076172
1695703432.1118946,5,-108.9571533203125
1695703435.0863113,6,-157.42271423339844
1695703438.020178,7,-154.53970336914062
1695703440.9578664,8,-120.10475158691406
1695703443.7325568,9,-112.95037841796875
1695703446.6286404,10,-144.89169311523438
1695703449.5188901,11,-110.7328109741211
1695703452.6234229,12,-119.83180236816406
1695703455.5078166,13,-146.82618713378906
1695703458.30731,14,-108.38114166259766
1695703461.2454362,15,-123.68791198730469
1695703464.0568545,16,-174.19461059570312
1695703466.9099987,17,-129.46136474609375
1695703469.727956,18,-95.3513412475586
1695703473.2653315,19,-139.86436462402344
1695703476.898565,20,-113.71829986572266
1695703480.989439,21,-156.40533447265625
1695703485.169762,22,-163.04928588867188
1695703488.4463742,23,-115.3851547241211
1695703492.6031353,24,-110.12290954589844
1695703495.4418871,25,-143.97117614746094
1695703498.7403111,26,-111.42924499511719
1695703501.8317757,27,-123.33882904052734
1695703505.1475258,28,-92.6057357788086
1695703508.2366602,29,-111.09161376953125
1695703510.9421442,30,-115.81233215332031
1695703513.6419141,31,-92.89693450927734
1695703516.5427456,32,-106.49870300292969
1695703519.336582,33,-82.60202026367188
1695703522.3496637,34,-76.8528060913086
1695703525.3383348,35,-63.74666213989258
1695703528.347234,36,-87.78179931640625
1695703531.299843,37,-61.76251983642578
1695703534.4677374,38,-58.277523040771484
1695703537.3276434,39,-92.9808578491211
1695703540.5336297,40,-106.52764892578125
1695703543.8218343,41,-60.332252502441406
1695703546.8694131,42,-81.04190826416016
1695703549.9272678,43,-94.9541015625
1695703553.187634,44,-120.66820526123047
1695703557.12937,45,-34.526676177978516
1695703560.7446973,46,-37.858367919921875
1695703570.2768052,47,44.26429748535156
1695703574.3123884,48,-66.76112365722656
1695703580.136336,49,-98.36451721191406
1695703586.1573555,50,-139.14137268066406
1695703592.053995,51,-82.99404907226562
1695703597.3863866,52,-108.95410919189453
1695703606.808224,53,-1.668060302734375
1695703613.8392391,54,-305.4301452636719
1695703620.3928292,55,-100.503173828125
1695703627.3849792,56,-96.28939819335938
1695703636.9278982,57,-49.63221740722656
1695703646.657374,58,-61.41728973388672
1695703657.2624154,59,0.7865524291992188
1695703667.5117264,60,64.43830871582031
1695703675.445104,61,18.718955993652344
1695703687.0025566,62,3.6422767639160156
1695703695.2796185,63,88.94731903076172
1695703705.8893046,64,16.988550186157227
1695703710.467493,65,-3.634337902069092
1695703719.514465,66,0.9319877624511719
1695703727.2526534,67,13.178483009338379
1695703733.076502,68,16.820432662963867
1695703738.3336692,69,22.540199279785156
1695703746.9970317,70,-7.181125640869141
1695703751.1576343,71,2.808157444000244
1695703757.2000563,72,-28.470685958862305
1695703767.7361948,73,-7.464338779449463
1695703774.934535,74,-21.176496505737305
1695703781.5682323,75,-3.7228164672851562
1695703791.1188772,76,7.720924377441406
1695703798.075523,77,-22.014440536499023
1695703805.4596941,78,28.025222778320312
1695703812.6556664,79,-28.84121322631836
1695703820.2181387,80,26.53289222717285
1695703826.5915184,81,-27.673683166503906
1695703833.0749516,82,-19.70228385925293
1695703839.7873716,83,24.22886848449707
1695703848.1031985,84,-5.817880630493164
1695703857.7373943,85,11.253990173339844
1695703863.6611996,86,-15.048710823059082
1695703870.615115,87,34.78904724121094
1695703879.4366884,88,40.73651123046875
1695703884.1083996,89,-20.4644832611084
1695703890.9238045,90,9.239349365234375
1695703900.7112377,91,62.733951568603516
1695703910.8873193,92,63.099185943603516
