Wall time,Step,Value
1695710086.8536096,0,15.769230842590332
1695710087.7185743,1,15.65384578704834
1695710088.746137,2,19.095237731933594
1695710089.8881357,3,30.769229888916016
1695710090.942246,4,29.928571701049805
1695710091.8811278,5,35.33333206176758
1695710092.7609622,6,46.44444274902344
1695710093.774961,7,52.75
1695710094.6446793,8,80.19999694824219
1695710095.5470476,9,51.125
1695710096.4570642,10,90.80000305175781
1695710097.356697,11,77.83333587646484
1695710098.3332126,12,68.66666412353516
1695710099.947944,13,73.33333587646484
1695710100.9600859,14,68.85713958740234
1695710101.8330934,15,90.5999984741211
1695710102.711728,16,91.80000305175781
1695710103.7082796,17,100.19999694824219
1695710104.8802745,18,150.6666717529297
1695710106.0703766,19,248.5
1695710107.1145864,20,327.0
1695710108.0695868,21,168.0
1695710109.0115876,22,201.5
1695710110.2777808,23,248.5
1695710113.598967,24,485.0
1695710114.5987844,25,507.0
1695710115.9668226,26,1000.0
1695710117.388551,27,1000.0
1695710118.2668471,28,425.0
1695710119.2717686,29,403.0
1695710120.9080083,30,761.0
1695710122.2173026,31,1000.0
1695710123.3620887,32,1000.0
1695710124.5227423,33,1000.0
1695710125.651351,34,1000.0
1695710126.5280395,35,406.0
1695710127.7280433,36,1000.0
1695710128.8133862,37,1000.0
1695710129.9769397,38,1000.0
1695710131.0726864,39,1000.0
1695710132.276544,40,1000.0
1695710133.3767872,41,1000.0
1695710134.4024374,42,879.0
1695710135.2408023,43,217.0
1695710136.1398048,44,83.0
1695710137.3528056,45,1000.0
1695710138.477757,46,1000.0
1695710139.6259904,47,1000.0
1695710140.732985,48,1000.0
1695710141.8189874,49,502.5
