Wall time,Step,Value
1695682595.626672,0,46.66666793823242
1695682596.5356975,1,30.846153259277344
1695682597.392868,2,38.0
1695682598.395668,3,84.5999984741211
1695682599.4899628,4,73.5
1695682600.5517018,5,64.85713958740234
1695682601.6182923,6,63.28571319580078
1695682602.5376136,7,73.16666412353516
1695682603.482841,8,84.33333587646484
1695682604.4007459,9,82.5999984741211
1695682605.3283405,10,101.25
1695682606.2898643,11,91.4000015258789
1695682607.4692912,12,110.25
1695682608.7179904,13,133.5
1695682609.6714127,14,110.25
1695682610.7021358,15,96.4000015258789
1695682611.7876086,16,167.6666717529297
1695682612.9226525,17,146.6666717529297
1695682614.0541763,18,197.3333282470703
1695682615.0577528,19,200.0
1695682616.2291644,20,187.3333282470703
1695682617.405602,21,177.3333282470703
1695682618.4700854,22,149.6666717529297
1695682619.497751,23,134.0
1695682620.5508623,24,134.75
1695682621.55335,25,135.6666717529297
1695682622.6214874,26,127.5
1695682623.6667998,27,118.0
1695682624.650473,28,105.75
1695682625.6912792,29,121.5
1695682626.8994138,30,135.6666717529297
1695682627.871907,31,134.6666717529297
1695682628.849935,32,173.0
1695682629.8914058,33,168.6666717529297
1695682630.9724035,34,200.0
1695682632.0908103,35,200.0
1695682633.0778122,36,200.0
1695682634.055458,37,200.0
1695682635.139203,38,144.6666717529297
1695682636.2065337,39,167.6666717529297
1695682637.1908293,40,145.0
1695682638.1846814,41,100.75
1695682639.4337146,42,88.80000305175781
1695682640.3494825,43,94.5999984741211
1695682641.2628546,44,76.33333587646484
1695682642.1482856,45,100.25
1695682643.0497158,46,121.0
1695682644.0938325,47,126.75
1695682644.995207,48,171.6666717529297
1695682646.0074608,49,194.6666717529297
1695682647.0703373,50,150.6666717529297
1695682648.1508884,51,192.3333282470703
1695682649.1120667,52,172.0
1695682650.0157335,53,178.6666717529297
1695682650.9452856,54,166.0
1695682651.9922147,55,180.6666717529297
1695682652.9937062,56,135.0
1695682653.9097655,57,161.6666717529297
1695682654.8364973,58,148.0
1695682655.7351737,59,152.3333282470703
1695682656.7009013,60,146.6666717529297
1695682657.7467546,61,185.0
1695682658.7578092,62,155.0
1695682659.6076584,63,137.3333282470703
1695682660.5498207,64,149.6666717529297
1695682661.4841845,65,130.5
1695682662.4275723,66,180.6666717529297
1695682663.3319423,67,140.6666717529297
1695682664.1856165,68,200.0
1695682665.04662,69,200.0
1695682665.991287,70,161.3333282470703
1695682666.9307373,71,182.0
1695682667.9044914,72,186.0
1695682668.905744,73,159.0
1695682669.8828998,74,188.6666717529297
1695682670.8534987,75,193.6666717529297
1695682671.9174976,76,183.3333282470703
1695682673.2528048,77,188.6666717529297
1695682674.7033565,78,196.6666717529297
1695682675.958768,79,179.6666717529297
1695682676.9864826,80,184.6666717529297
1695682678.0519629,81,200.0
1695682679.2158337,82,185.3333282470703
1695682680.2303052,83,156.0
1695682681.219872,84,149.3333282470703
1695682682.3184538,85,152.6666717529297
1695682683.4392335,86,157.0
1695682684.829182,87,138.5
1695682685.8744853,88,158.0
1695682687.0954833,89,184.3333282470703
1695682688.1479976,90,153.3333282470703
1695682689.2810042,91,160.6666717529297
1695682690.272684,92,149.0
1695682691.3813648,93,169.0
1695682692.6354682,94,200.0
1695682694.073756,95,200.0
1695682695.1068351,96,200.0
1695682696.0473688,97,200.0
1695682697.036816,98,185.6666717529297
1695682697.9279726,99,200.0
