Wall time,Step,Value
1695690417.459812,0,36.91666793823242
1695690419.9875886,1,37.83333206176758
1695690422.5012875,2,57.14285659790039
1695690425.0006702,3,62.85714340209961
1695690427.466809,4,72.33333587646484
1695690429.9746435,5,86.0
1695690432.499144,6,92.5999984741211
1695690434.989963,7,107.5
1695690437.470379,8,112.75
1695690440.0165963,9,200.0
1695690442.5672336,10,178.6666717529297
1695690445.1732433,11,135.75
1695690447.8681712,12,188.6666717529297
1695690450.4751382,13,178.6666717529297
1695690453.0738592,14,200.0
1695690455.617263,15,200.0
1695690458.192344,16,200.0
1695690460.7072728,17,200.0
1695690463.2257655,18,200.0
1695690465.7332444,19,200.0
1695690468.3550055,20,200.0
1695690470.8301125,21,200.0
1695690473.3451612,22,200.0
1695690475.8687093,23,200.0
1695690478.339541,24,200.0
1695690480.9754279,25,200.0
1695690483.4886825,26,200.0
1695690486.0110612,27,200.0
1695690488.5180836,28,200.0
1695690491.1937528,29,199.6666717529297
1695690493.9572556,30,200.0
1695690496.4331212,31,200.0
1695690498.9043257,32,200.0
1695690501.400963,33,200.0
1695690504.0150993,34,200.0
1695690506.5586972,35,200.0
1695690509.096326,36,200.0
1695690511.5944889,37,200.0
1695690515.0356822,38,200.0
1695690518.970051,39,200.0
1695690522.8628697,40,200.0
1695690526.8409677,41,200.0
1695690530.6701,42,200.0
1695690534.5923274,43,200.0
1695690538.4798272,44,200.0
1695690542.4045765,45,200.0
1695690546.2603304,46,200.0
1695690550.1045563,47,200.0
1695690554.0879312,48,200.0
1695690557.9849482,49,200.0
1695690561.7882876,50,200.0
1695690565.7533236,51,200.0
1695690569.6215594,52,200.0
1695690573.5249634,53,200.0
1695690577.3595953,54,200.0
1695690581.2388415,55,200.0
1695690585.1575031,56,200.0
1695690589.1190581,57,200.0
1695690592.9999113,58,200.0
1695690596.912892,59,200.0
1695690600.8513896,60,200.0
1695690604.7553372,61,200.0
1695690608.615545,62,200.0
1695690612.4576027,63,200.0
1695690616.32486,64,200.0
1695690620.127833,65,200.0
1695690624.0707712,66,200.0
1695690628.002001,67,200.0
1695690631.9211261,68,200.0
1695690635.8090866,69,200.0
1695690639.771151,70,200.0
1695690643.6081073,71,200.0
1695690647.555589,72,200.0
1695690651.5158029,73,200.0
1695690655.7134094,74,200.0
1695690659.551904,75,200.0
1695690663.3697696,76,200.0
1695690667.5975592,77,200.0
1695690671.626678,78,200.0
1695690675.5412254,79,200.0
1695690679.4368062,80,200.0
1695690683.2841618,81,200.0
1695690687.2661376,82,200.0
1695690691.1183734,83,200.0
1695690695.0485399,84,200.0
1695690698.8902128,85,200.0
1695690702.7578547,86,200.0
1695690706.6540163,87,200.0
1695690710.5746415,88,200.0
1695690714.438945,89,200.0
1695690718.4805665,90,200.0
1695690722.7577055,91,200.0
1695690726.9551454,92,200.0
1695690730.870031,93,200.0
1695690734.8475182,94,200.0
1695690738.638827,95,200.0
1695690742.448569,96,200.0
1695690746.4109485,97,200.0
1695690750.258251,98,200.0
1695690754.231001,99,200.0
